"","unique.date","crime_frequency","year","month","day","binary"
"599",2007-08-22,683,2007,8,22,0
"600",2007-08-23,776,2007,8,23,0
"601",2007-08-24,664,2007,8,24,0
"602",2007-08-25,573,2007,8,25,0
"603",2007-08-26,596,2007,8,26,0
"604",2007-08-27,647,2007,8,27,0
"605",2007-08-28,758,2007,8,28,0
"606",2007-08-29,712,2007,8,29,0
"607",2007-08-30,644,2007,8,30,0
"608",2007-08-31,632,2007,8,31,0
"609",2007-09-01,620,2007,9,1,0
"610",2007-09-02,631,2007,9,2,0
"611",2007-09-03,523,2007,9,3,0
"612",2007-09-04,648,2007,9,4,0
"613",2007-09-05,734,2007,9,5,0
"614",2007-09-06,658,2007,9,6,0
"615",2007-09-07,614,2007,9,7,0
"616",2007-09-08,622,2007,9,8,0
"617",2007-09-09,609,2007,9,9,1
"618",2007-09-10,580,2007,9,10,0
"619",2007-09-11,652,2007,9,11,0
"620",2007-09-12,688,2007,9,12,0
"621",2007-09-13,681,2007,9,13,0
"622",2007-09-14,620,2007,9,14,0
"623",2007-09-15,656,2007,9,15,0
"624",2007-09-16,583,2007,9,16,0
"625",2007-09-17,570,2007,9,17,1
"626",2007-09-18,630,2007,9,18,0
"627",2007-09-19,682,2007,9,19,0
"628",2007-09-20,689,2007,9,20,0
"629",2007-09-21,617,2007,9,21,0
"630",2007-09-22,625,2007,9,22,0
"631",2007-09-23,602,2007,9,23,1
"632",2007-09-24,604,2007,9,24,0
"633",2007-09-25,720,2007,9,25,0
"634",2007-09-26,697,2007,9,26,0
"635",2007-09-27,668,2007,9,27,0
"636",2007-09-28,657,2007,9,28,0
"637",2007-09-29,581,2007,9,29,0
"638",2007-09-30,585,2007,9,30,1
"639",2007-10-01,646,2007,10,1,0
"640",2007-10-02,643,2007,10,2,0
"641",2007-10-03,713,2007,10,3,0
"642",2007-10-04,624,2007,10,4,0
"643",2007-10-05,633,2007,10,5,0
"644",2007-10-06,632,2007,10,6,0
"645",2007-10-07,622,2007,10,7,0
"646",2007-10-08,687,2007,10,8,0
"647",2007-10-09,653,2007,10,9,0
"648",2007-10-10,647,2007,10,10,0
"649",2007-10-11,674,2007,10,11,0
"650",2007-10-12,549,2007,10,12,0
"651",2007-10-13,564,2007,10,13,0
"652",2007-10-14,531,2007,10,14,1
"653",2007-10-15,583,2007,10,15,0
"654",2007-10-16,692,2007,10,16,0
"655",2007-10-17,683,2007,10,17,0
